annotator_id,paper_id,review_id
1,73dhbcXxtV,5_3
1,qIn2IgMWYg,5_5
1,RXU6qde675,5_3
1,oTRekADULK,5_5
1,RXU6qde675,5_5
1,uvFhCUPjtI,gold
1,c1QBcYLd7f,5_5
1,nrDRBhNHiB,5_3
1,nrDRBhNHiB,5_5
1,i7oU4nfKEA,5_3
2,73dhbcXxtV,5_3
2,qIn2IgMWYg,5_5
2,RXU6qde675,5_3
2,oTRekADULK,5_5
2,RXU6qde675,5_5
2,uvFhCUPjtI,gold
2,c1QBcYLd7f,5_5
2,nrDRBhNHiB,5_3
2,nrDRBhNHiB,5_5
2,i7oU4nfKEA,5_3
3,73dhbcXxtV,5_3
3,qIn2IgMWYg,5_5
3,RXU6qde675,5_3
3,oTRekADULK,5_5
3,RXU6qde675,5_5
3,uvFhCUPjtI,gold
3,c1QBcYLd7f,5_5
3,nrDRBhNHiB,5_3
3,nrDRBhNHiB,5_5
3,i7oU4nfKEA,5_3
4,OJoMzslBIa,gold
4,4y3GDTFv70,5_3
4,c1QBcYLd7f,5_3
4,xJ5N8qrEPl,5_3
4,P895PSh41Z,gold
4,Gq1Zjhovjr,5_5
4,Ue93J8VV3W,gold
4,qKKwQvepx0,5_5
4,P895PSh41Z,5_3
4,Gq1Zjhovjr,5_3
5,OJoMzslBIa,gold
5,4y3GDTFv70,5_3
5,c1QBcYLd7f,5_3
5,xJ5N8qrEPl,5_3
5,P895PSh41Z,gold
5,Gq1Zjhovjr,5_5
5,Ue93J8VV3W,gold
5,qKKwQvepx0,5_5
5,P895PSh41Z,5_3
5,Gq1Zjhovjr,5_3
6,OJoMzslBIa,gold
6,4y3GDTFv70,5_3
6,c1QBcYLd7f,5_3
6,xJ5N8qrEPl,5_3
6,P895PSh41Z,gold
6,Gq1Zjhovjr,5_5
6,Ue93J8VV3W,gold
6,qKKwQvepx0,5_5
6,P895PSh41Z,5_3
6,Gq1Zjhovjr,5_3
7,qKKwQvepx0,gold
7,4y3GDTFv70,5_5
7,MCNqgUFTHI,5_5
7,whFQe4MRIY,5_3
7,ipWSxcmgsx,5_5
7,iGHPVbttMs,5_5
7,Gq1Zjhovjr,gold
7,kxebDHZ7b7,5_5
7,Dw6y6bEtXm,gold
7,wOb0xFwdpr,gold
8,qKKwQvepx0,gold
8,4y3GDTFv70,5_5
8,MCNqgUFTHI,5_5
8,whFQe4MRIY,5_3
8,ipWSxcmgsx,5_5
8,iGHPVbttMs,5_5
8,Gq1Zjhovjr,gold
8,kxebDHZ7b7,5_5
8,Dw6y6bEtXm,gold
8,wOb0xFwdpr,gold
9,qKKwQvepx0,gold
9,4y3GDTFv70,5_5
9,MCNqgUFTHI,5_5
9,whFQe4MRIY,5_3
9,ipWSxcmgsx,5_5
9,iGHPVbttMs,5_5
9,Gq1Zjhovjr,gold
9,kxebDHZ7b7,5_5
9,Dw6y6bEtXm,gold
9,wOb0xFwdpr,gold
10,iGHPVbttMs,gold
10,ziDFH8TPPK,gold
10,whFQe4MRIY,gold
10,GAXedKmbFZ,5_3
10,c1QBcYLd7f,gold
10,LixtB4TYY2,5_5
10,i7oU4nfKEA,gold
10,MCNqgUFTHI,5_3
10,qi88abxiE4,5_5
10,OJoMzslBIa,5_3
11,iGHPVbttMs,gold
11,ziDFH8TPPK,gold
11,whFQe4MRIY,gold
11,GAXedKmbFZ,5_3
11,c1QBcYLd7f,gold
11,LixtB4TYY2,5_5
11,i7oU4nfKEA,gold
11,MCNqgUFTHI,5_3
11,qi88abxiE4,5_5
11,OJoMzslBIa,5_3
12,iGHPVbttMs,gold
12,ziDFH8TPPK,gold
12,whFQe4MRIY,gold
12,GAXedKmbFZ,5_3
12,c1QBcYLd7f,gold
12,LixtB4TYY2,5_5
12,i7oU4nfKEA,gold
12,MCNqgUFTHI,5_3
12,qi88abxiE4,5_5
12,OJoMzslBIa,5_3
13,Ue93J8VV3W,5_5
13,LixtB4TYY2,gold
13,whFQe4MRIY,5_5
13,MCNqgUFTHI,gold
13,xJ5N8qrEPl,5_5
13,0jsfesDZDq,gold
13,0jsfesDZDq,5_5
13,qi88abxiE4,gold
13,Dw6y6bEtXm,5_5
13,30L0rr9W8A,5_3
14,Ue93J8VV3W,5_5
14,LixtB4TYY2,gold
14,whFQe4MRIY,5_5
14,MCNqgUFTHI,gold
14,xJ5N8qrEPl,5_5
14,0jsfesDZDq,gold
14,0jsfesDZDq,5_5
14,qi88abxiE4,gold
14,Dw6y6bEtXm,5_5
14,30L0rr9W8A,5_3
15,Ue93J8VV3W,5_5
15,LixtB4TYY2,gold
15,whFQe4MRIY,5_5
15,MCNqgUFTHI,gold
15,xJ5N8qrEPl,5_5
15,0jsfesDZDq,gold
15,0jsfesDZDq,5_5
15,qi88abxiE4,gold
15,Dw6y6bEtXm,5_5
15,30L0rr9W8A,5_3
16,oTRekADULK,5_3
16,BoLqnXEdSE,5_3
16,qKKwQvepx0,5_3
16,nrDRBhNHiB,gold
16,Ue93J8VV3W,5_3
16,BoLqnXEdSE,gold
16,Dw6y6bEtXm,5_3
16,0jsfesDZDq,5_3
16,qi88abxiE4,5_3
16,qIn2IgMWYg,5_3
17,oTRekADULK,5_3
17,BoLqnXEdSE,5_3
17,qKKwQvepx0,5_3
17,nrDRBhNHiB,gold
17,Ue93J8VV3W,5_3
17,BoLqnXEdSE,gold
17,Dw6y6bEtXm,5_3
17,0jsfesDZDq,5_3
17,qi88abxiE4,5_3
17,qIn2IgMWYg,5_3
18,oTRekADULK,5_3
18,BoLqnXEdSE,5_3
18,qKKwQvepx0,5_3
18,nrDRBhNHiB,gold
18,Ue93J8VV3W,5_3
18,BoLqnXEdSE,gold
18,Dw6y6bEtXm,5_3
18,0jsfesDZDq,5_3
18,qi88abxiE4,5_3
18,qIn2IgMWYg,5_3
19,kxebDHZ7b7,5_3
19,BoLqnXEdSE,5_5
19,ziDFH8TPPK,5_3
19,ipWSxcmgsx,gold
19,GAXedKmbFZ,5_5
19,kxebDHZ7b7,gold
19,73dhbcXxtV,gold
19,LixtB4TYY2,5_3
19,30L0rr9W8A,5_5
19,4y3GDTFv70,gold
